Ticker,Tipo,Data Com,Pagamento,Valor,Segmento,Tipo da Gestão,Público-alvo,Rendimento Médio 24M,Taxa Administração,Liquidez Média Diária,Participação IFIX
CRAA11,RENDIMENTO,2025-06-06,13/06/2025,1.25,Indefinido,,,,- % a.a,"740.154,30",
CRAA11,RENDIMENTO,2025-05-08,15/05/2025,1.15,Indefinido,,,,- % a.a,"740.154,30",
CRAA11,RENDIMENTO,2025-04-07,14/04/2025,1.1,Indefinido,,,,- % a.a,"740.154,30",
CRAA11,RENDIMENTO,2025-03-11,18/03/2025,1.1,Indefinido,,,,- % a.a,"740.154,30",
CRAA11,RENDIMENTO,2025-02-07,14/02/2025,1.1,Indefinido,,,,- % a.a,"740.154,30",
CRFF11,,,,,,,,,,,
CSMC11,,,,,,,,,,,
CTXT11,,,,,,,,,,,
CVBI11,,,,,,,,,,,
CVPR11,,,,,,,,,,,
CXAG11,,,,,,,,,,,
CXCE11,,,,,,,,,,,
CXCI11,,,,,,,,,,,
CXCO11,,,,,,,,,,,
CXRI11,,,,,,,,,,,
CXTL11,,,,,,,,,,,
CYCR11,,,,,,,,,,,
CYLD11,,,,,,,,,,,
DAMA11,,,,,,,,,,,
DAMT11B,,,,,,,,,,,
DAYM11,,,,,,,,,,,
DBIN11,,,,,,,,,,,
DCRA11,RENDIMENTO,2025-06-06,13/06/2025,0.09,Indefinido,,,,- % a.a,"63.533,10",
DCRA11,RENDIMENTO,2025-05-08,15/05/2025,0.09,Indefinido,,,,- % a.a,"63.533,10",
DEVA11,,,,,,,,,,,
DIVS11,,,,,,,,,,,
DLMT11,,,,,,,,,,,
DOVL11,,,,,,,,,,,
DPRO11,,,,,,,,,,,
DRIT11B,,,,,,,,,,,
DVFF11,,,,,,,,,,,
DVLP11,,,,,,,,,,,
DVLT11,,,,,,,,,,,
EAGL11,,,,,,,,,,,
EDFO11,,,,,,,,,,,
EDGA11,,,,,,,,,,,
EDGE11,,,,,,,,,,,
EGAF11,RENDIMENTO,2025-07-02,09/07/2025,1.34,Indefinido,,,,- % a.a,"699.910,75",
EGAF11,RENDIMENTO,2025-06-03,10/06/2025,1.41,Indefinido,,,,- % a.a,"699.910,75",
EGAF11,RENDIMENTO,2025-05-05,12/05/2025,1.316,Indefinido,,,,- % a.a,"699.910,75",
EGAF11,RENDIMENTO,2025-04-02,09/04/2025,1.22,Indefinido,,,,- % a.a,"699.910,75",
EGDB11,,,,,,,,,,,
EGYR11,,,,,,,,,,,
EIRA11,,,,,,,,,,,
ELDO11,,,,,,,,,,,
EMET11,,,,,,,,,,,
EQIR11,,,,,,,,,,,
ERCR11,,,,,,,,,,,
ERPA11,,,,,,,,,,,
ESTQ11,,,,,,,,,,,
EURO11,,,,,,,,,,,
EXES11,,,,,,,,,,,
EXIF11,,,,,,,,,,,
EZTB11,,,,,,,,,,,
FAED11,,,,,,,,,,,
FAGL11,,,,,,,,,,,
FAMB11,,,,,,,,,,,
FAOE11,,,,,,,,,,,
FARU11,,,,,,,,,,,
FATN11,,,,,,,,,,,
FAVM11,,,,,,,,,,,
FBTS11,,,,,,,,,,,
FCFL11,,,,,,,,,,,
FGAA11,RENDIMENTO,2025-06-06,13/06/2025,0.12,Indefinido,,,,- % a.a,"1.003.753,75",
FGAA11,AMORTIZAÇÃO,2025-06-06,14/07/2025,0.06,Indefinido,,,,- % a.a,"1.003.753,75",
FGAA11,AMORTIZAÇÃO,2025-05-08,13/06/2025,0.06,Indefinido,,,,- % a.a,"1.003.753,75",
FGAA11,RENDIMENTO,2025-05-08,15/05/2025,0.115,Indefinido,,,,- % a.a,"1.003.753,75",
FGAA11,RENDIMENTO,2025-04-07,14/04/2025,0.11,Indefinido,,,,- % a.a,"1.003.753,75",
FGPM11,,,,,,,,,,,
FIGS11,,,,,,,,,,,
FIGV11,,,,,,,,,,,
FIIB11,,,,,,,,,,,
FIIC11,,,,,,,,,,,
FIIP11,,,,,,,,,,,
FINF11,,,,,,,,,,,
FISC11,,,,,,,,,,,
FISD11,,,,,,,,,,,
FIVN11,,,,,,,,,,,
FLCR11,,,,,,,,,,,
FLEM11,,,,,Indefinido,,,,- % a.a,"0,00",
FLFL11,,,,,,,,,,,
FLMA11,,,,,,,,,,,
FLNR11,,,,,,,,,,,
FLRP11,,,,,,,,,,,
FMOB11,,,,,,,,,,,
FMOF11,,,,,,,,,,,
FPAB11,,,,,,,,,,,
FPNG11,,,,,,,,,,,
FRHY11,,,,,,,,,,,
FTCA11,RENDIMENTO,2025-06-17,25/06/2025,0.12,Indefinido,,,,- % a.a,"56.110,40",
FTCA11,RENDIMENTO,2025-05-19,26/05/2025,0.12,Indefinido,,,,- % a.a,"56.110,40",
FTCA11,RENDIMENTO,2025-04-16,25/04/2025,0.11,Indefinido,,,,- % a.a,"56.110,40",
FTCA11,RENDIMENTO,2025-03-20,27/03/2025,0.11,Indefinido,,,,- % a.a,"56.110,40",
FTCA11,RENDIMENTO,2025-02-18,25/02/2025,0.1,Indefinido,,,,- % a.a,"56.110,40",
FTCA11,RENDIMENTO,2025-01-17,24/01/2025,0.13305935,Indefinido,,,,- % a.a,"56.110,40",
FTCA11,RENDIMENTO,2024-12-17,26/12/2024,0.1,Indefinido,,,,- % a.a,"56.110,40",
FTCE11,,,,,,,,,,,
FTRE11,,,,,,,,,,,
FVPQ11,,,,,,,,,,,
FYTO11,,,,,,,,,,,
FZDA11,RENDIMENTO,2025-04-30,08/05/2025,4.24361973,Indefinido,,,,- % a.a,"659,00",
FZDA11,RENDIMENTO,2025-04-30,08/05/2025,4.10675307,Indefinido,,,,- % a.a,"659,00",
FZDA11,RENDIMENTO,2024-04-30,08/05/2024,1.053,Indefinido,,,,- % a.a,"659,00",
FZDA11,RENDIMENTO,2023-04-28,08/05/2023,2.25730292,Indefinido,,,,- % a.a,"659,00",
FZDB11,,,,,Indefinido,,,,- % a.a,"393,00",
GAME11,,,,,,,,,,,
GARE11,,,,,,,,,,,
GCDL11,,,,,,,,,,,
GCOI11,,,,,,,,,,,
GCRA11,RENDIMENTO,2025-06-06,13/06/2025,0.66,Indefinido,,,,- % a.a,"75.075,65",
GCRI11,,,,,,,,,,,
GFDL11,,,,,,,,,,,
GGRC11,,,,,,,,,,,
GLCR11,,,,,,,,,,,
GLOG11,,,,,,,,,,,
GLPF11,,,,,,,,,,,
GRRO11,,,,,,,,,,,
GRUL11,,,,,,,,,,,
GRWA11,RENDIMENTO,2025-06-06,13/06/2025,0.06,Indefinido,,,,- % a.a,"8.291,10",
GRWA11,RENDIMENTO,2025-05-08,15/05/2025,0.06,Indefinido,,,,- % a.a,"8.291,10",
GRWA11,RENDIMENTO,2025-04-07,14/04/2025,0.1,Indefinido,,,,- % a.a,"8.291,10",
GRWA11,RENDIMENTO,2025-03-11,18/03/2025,0.1,Indefinido,,,,- % a.a,"8.291,10",
GRWA11,RENDIMENTO,2025-02-07,14/02/2025,0.1,Indefinido,,,,- % a.a,"8.291,10",
GSFI11,,,,,,,,,,,
GTWR11,,,,,,,,,,,
GZIT11,,,,,,,,,,,
HAAA11,,,,,,,,,,,
HABT11,,,,,,,,,,,
HBCR11,,,,,,,,,,,
HCHG11,,,,,,,,,,,
HCRI11,,,,,,,,,,,
HCST11,,,,,,,,,,,
HCTR11,,,,,,,,,,,
HDEL11,,,,,,,,,,,
HDOF11,,,,,,,,,,,
HERM11,,,,,,,,,,,
HFOF11,,,,,,,,,,,
HGAG11,RENDIMENTO,2025-06-30,07/07/2025,1.11,Indefinido,,,,- % a.a,"2.540,56",
HGAG11,RENDIMENTO,2025-05-30,06/06/2025,0.2,Indefinido,,,,- % a.a,"2.540,56",
HGAG11,RENDIMENTO,2025-04-30,08/05/2025,0.14,Indefinido,,,,- % a.a,"2.540,56",
HGAG11,RENDIMENTO,2025-03-31,07/04/2025,0.12,Indefinido,,,,- % a.a,"2.540,56",
HGAG11,RENDIMENTO,2025-02-28,11/03/2025,0.19,Indefinido,,,,- % a.a,"2.540,56",
HGAG11,RENDIMENTO,2025-01-31,07/02/2025,0.08,Indefinido,,,,- % a.a,"2.540,56",
HGAG11,RENDIMENTO,2024-11-29,06/12/2024,0.12,Indefinido,,,,- % a.a,"2.540,56",
HGAG11,RENDIMENTO,2024-10-31,07/11/2024,0.15,Indefinido,,,,- % a.a,"2.540,56",
HGAG11,RENDIMENTO,2024-09-30,07/10/2024,0.18,Indefinido,,,,- % a.a,"2.540,56",
HGBL11,,,,,,,,,,,
HGBS11,,,,,,,,,,,
HGCR11,,,,,,,,,,,
HGFF11,,,,,,,,,,,
HGIC11,,,,,,,,,,,
HGLG11,,,,,,,,,,,
HGPO11,,,,,,,,,,,
HGRE11,,,,,,,,,,,
HGRU11,,,,,,,,,,,
HILG11,,,,,,,,,,,
HLMB11,,,,,,,,,,,
HLOG11,,,,,,,,,,,
HOFC11,,,,,,,,,,,
HOMS11,,,,,,,,,,,
